Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,375,1172,883,968,96,106,979,1074,255,127.5,85,289,170,459,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Store & Code,Store-Brand-Product Type,Brand Code,Commodity,Store Name,Store Type,Store Category,Brand Code,Brand Type,Supplier name,Brand Name,Depth,Facing,SKU Count,SOH,Sku Count Local,SOH Local,SKU Count Total,SOH Total,Sales(Apr & May),Monthly Sales,Back stock,Facing Delta,BS Delta,Total Order,Star Locations,,,
PO-DWARKA12 RB,PO-DWARKA12RaybanSunglass,RB,Sunglass,PO-DWARKA12,Retail,A,RB,Lifestyle,Luxottica,Rayban,,42,18,18,0,0,18,18,7,3.5,0,24,0,24,,,,
PO-DWARKA12 RX,PO-DWARKA12RaybanFrame,RX,Frame,PO-DWARKA12,Retail,A,RX,Lifestyle,Luxottica,Rayban,6,24,20,21,0,0,20,21,9,4.5,1,4,6,10,,,,
PO-DWARKA12 TH,PO-DWARKA12Tommy HilfigerFrame,TH,Frame,PO-DWARKA12,Retail,A,TH,Lifestyle,Sterling,Tommy Hilfiger,3,20,17,17,0,0,17,17,3,1.5,0,3,3,6,,,,
PO-DWARKA12 VO,PO-DWARKA12VogueFrame,VO,Frame,PO-DWARKA12,Retail,A,VO,Fast Fashion,Luxottica,Vogue,6,24,18,18,0,0,18,18,2,1,0,6,2,8,,,,
PO-FARIDABAD AD,PO-FARIDABADAdmyraFrame,AD,Frame,PO-FARIDABAD,SIS,B+,AD,Private Labels,Private Labels,Admyra,,90,151,157,18,19,169,176,39,19.5,6,-61,0,-61,,,,
PO-FARIDABAD AV,PO-FARIDABADAvantaFrame,AV,Frame,PO-FARIDABAD,SIS,B+,AV,Private Labels,Private Labels,Avanta,,85,126,137,106,134,232,271,61,30.5,11,-41,0,-41,,,,
PO-FARIDABAD AV-K,PO-FARIDABADAvanta KidsFrame,AV-K,Frame,PO-FARIDABAD,SIS,B+,AV-K,Private Labels,Private Labels,Avanta Kids,,26,13,14,21,24,34,38,11,5.5,1,13,0,13,,,,
PO-FARIDABAD7 AD,PO-FARIDABAD7AdmyraFrame,AD,Frame,PO-FARIDABAD7,SIS,B,AD,Private Labels,Private Labels,Admyra,,,154,155,68,74,222,229,11,5.5,1,-154,0,-154,,,,
PO-FARIDABAD7 AV,PO-FARIDABAD7AvantaFrame,AV,Frame,PO-FARIDABAD7,SIS,B,AV,Private Labels,Private Labels,Avanta,,,155,163,42,44,197,207,6,3,8,-155,-2,-157,,,,
PO-FARIDABAD7 AV-K,PO-FARIDABAD7Avanta KidsFrame,AV-K,Frame,PO-FARIDABAD7,SIS,B,AV-K,Private Labels,Private Labels,Avanta Kids,,,12,14,4,4,16,18,0,0,2,-12,-2,-14,,,,
PO-GHAZIABAD AD,PO-GHAZIABADAdmyraFrame,AD,Frame,PO-GHAZIABAD,SIS,A,AD,Private Labels,Private Labels,Admyra,26,228,304,305,0,0,304,305,10,5,1,-76,9,-67,,,,
PO-GHAZIABAD AV,PO-GHAZIABADAvantaFrame,AV,Frame,PO-GHAZIABAD,SIS,A,AV,Private Labels,Private Labels,Avanta,36,144,257,264,14,32,271,296,25,12.5,7,-113,18,-95,,,,
PO-GHAZIABAD AV-K,PO-GHAZIABADAvanta KidsFrame,AV-K,Frame,PO-GHAZIABAD,SIS,A,AV-K,Private Labels,Private Labels,Avanta Kids,4,16,16,18,6,9,22,27,3,1.5,2,0,1,1,,,,
PO-GHAZIABAD CA,PO-GHAZIABADCarreraFrame,CA,Frame,PO-GHAZIABAD,SIS,A,CA,Lifestyle,Safilo,Carrera,3,12,6,6,0,0,6,6,0,0,0,6,0,6,,,,
