Barcode No.,Item Code,Item Name,Item Category,HSN Code,Quantity,MRP,Net Amount,Facility,Facility Name
2753716,SYS2856,SG Opt 1 - Dark cataract - Unisex - Black - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,2,125.0,250.0,Karnal Model Town,Karnal Model Town
2754596,SYS104591,AV AJ3010 - Avanta - Male - C1 - 51 - Full Frame - Square - Metal,frame,90031100,1,1490.0,1280.54,Gurgaon Sector 51 M2K,Gurgaon Sector 51 M2K
2754538,SYS55477,VO4037I - Vogue - Female - 656 - 52 - Half Frame - Cat Eye - Metal,Frame,90031100,1,4190.0,3600.98,Gurgaon Sector 51 M2K,Gurgaon Sector 51 M2K
2751553,SYS169815,AM 19719 - Admyra - Male - C09 - 53 - Rimless - Rectangle - Titanium,frame,90031100,1,2790.0,2276.65,Delhi Dwarka Sec 09,Delhi Dwarka Sec 09
2752233,SYS170216,AV 259161 - Avanta - Female - Pink - 49 - Half Frame - Rectangle - Metal,frame,90031100,1,690.0,579.83,Moradabad Kanth Road,Moradabad Kanth Road
2674286,SYS168290,AV 95003 - Avanta Kids - Kids - MT.Grey - 44 - Full Frame - Square - TR,frame,90031100,1,790.0,632.0,Delhi Preet Vihar Vikas Marg,Delhi Preet Vihar Vikas Marg
2661926,SYS144504,RX6539I - Rayban - Male - 2501 - 54 - Full Frame - Square - Metal,frame,90031100,1,5290.0,4946.12,Delhi Safdarjung Enclave,Delhi Safdarjung Enclave
2750577,SYS169602,VTB2017 - Vinoj - Female - Mix - 48 - Half Frame - Rectangle - Metal,frame,90031100,1,690.0,637.82,Siddipet Gandhi Chowk Krishna Sai,Siddipet Gandhi Chowk Krishna Sai
2674277,SYS168281,AV 95001 - Avanta Kids - Kids - Black - 43 - Full Frame - Square - TR,frame,90031100,1,790.0,710.95,Delhi Dwarka Sec 09,Delhi Dwarka Sec 09
635812,SYS48865,VS 30 48 - Vision Spring - Unisex - Mix - 48 - Full Frame - Full Frame - Plastic,Frame,90031100,1,178.13,144.51,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2754565,SYS171395,AV CH031 - Avanta - Unisex - C3 - 50 - Full Frame - Round - Metal,frame,90031100,1,1490.0,1226.34,Patna Kankarbagh,Patna Kankarbagh
2673589,SYS167790,AV CA006 - Avanta - Male - Purple - 50 - Supra - Rectangle - Metal,Frame,90031100,1,490.0,427.33,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2669002,SYS2859,SG Opt 4 - Transparent - Unisex - White - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,1,200.0,200.0,Warangal Hanamkonda Kakathiya,Warangal Hanamkonda Kakathiya
2672788,SYS167177,AV M111 - Avanta - Male - Trans/Brown - 48 - Full Frame - Rectangle - TR,Frame,90031100,1,390.0,373.04,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2753072,SYS170985,AV 31007 - Avanta - Male - Gun - 48 - Full Frame - Rectangle - Metal,frame,90031100,1,790.0,738.85,Sikar Police Line Road I Max,Sikar Police Line Road I Max
